date,locality,state,location,title,size_text,size_low,size_high,organizations,participants,claims,valence,event_type,police_measures,participant_measures,police_injuries,participant_injuries,arrests,property_damage,police_deaths,participant_deaths,macroevent,notes,coder,source1,source2,source3,source4,source5,source6,source7,source8,source9,source10,source11,source12,source13,source14,source15,source16,source17,source18,source19,source20,source21,source22,source23,source24,source25,source26,source27,source28,source29,source30
2021-05-01,Alameda,CA,,,count video,35,45,,family,"against police brutality, against racism, for justice for Mario Gonzalez",1,vigil; march,,,,,,,,,,,,https://sanfrancisco.cbslocal.com/2021/05/01/mario-gonzalez-in-custody-death-alameda-protest/,https://www.kron4.com/news/bay-area/activists-march-where-mario-gonzalez-died-in-police-custody/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Albert Lea,MN,Fountain Lake Park,Stand for Liberty,over 100,100,100,ReOpen Minnesota Coalition,elected officials,"against state coronavirus resictrictions and lockdowns, for liberty, in support of Interchange Wine and Coffee Bistro owner Lisa Hanson",2,rally,,,,,,,,,,,,https://www.facebook.com/events/256562042700428/,https://www.kare11.com/article/news/health/coronavirus/albert-lea-business-owner-who-defied-covid-lockdown-says-shes-still-committed-to-her-cause/89-c1bcb853-6276-427a-bc0a-ad39e2d5a715,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Alexandria,VA,500 South Lee St,Pass the PRO Act!,count pic,100,100,Metro DC DSA; IUPAT,,"for the PRO Act, for collective bargaining rights",1,march; rally,,left boxes of signed petitions on doorstep of Senator Warner's home,,,,,,,,,,https://twitter.com/mdc_dsa/status/1387557244183584769,https://pro-act.dsausa.org/event/may-day-with-warner/,https://twitter.com/mdc_dsa/status/1388537696528764930,https://twitter.com/workerism/status/1388551521596579849,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Augusta,ME,Capitol Park,May Day Rally,,,,Democratic Socialists of America; Maine Service Employees Association-SEIU Local 1989; Maine People’s Alliance,elected officials,"for the PRO Act, for collective bargaining rights, for immigrants' rights",1,rally,,,,,,,,,,,,https://pro-act.dsausa.org/event/may-day-rally-portland/,https://mainebeacon.com/may-day-rallies-across-maine-focus-on-building-worker-power-amid-pandemic/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Austin,TX,Congress Ave; 4th St,,count pic,60,70,,communists,for workers' liberation,1,march,large police force deployed on foot and bike and in cars; warned protesters to stay on sidewalks or face arrest,marched in street,,,,,,,,,,https://twitter.com/MercuryJey/status/1388922000815558663,https://twitter.com/bradj_TX/status/1388554780449153029,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Austin,TX,University of Texas-Austin,Homes Not Handcuffs,dozens,24,24,Homes Not Handcuffs,students; elected officials,"against Proposition B, against criminalization of homelessness in Austin, housing is a human right",1,demonstration,,,,,,,,,,,,https://patch.com/texas/downtownaustin/austin-activists-rally-opposition-prop-b-election-day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Baltimore,MD,2011 N Charles St; Baltimore City Hall,Bust Racism - Not Unions,,,,People's Power Assembly,,"for collective bargaining rights, against racism",1,rally; caravan,,,,,,,,,,,,https://www.instagram.com/p/COUDIe-pTJ8/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Bangor,ME,"Margaret Chase Smith Federal Building, 202 Harlow St",May Day Rally,,,,Democratic Socialists of America,,"for the PRO Act, for collective bargaining rights",1,rally,,,,,,,,,,,,https://pro-act.dsausa.org/event/may-day-rally-bangor/,https://mainebeacon.com/may-day-rallies-across-maine-focus-on-building-worker-power-amid-pandemic/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Barre,VT,Hannaford Supermarkets,,,,,Rights & Democracy; Vermont AFL-CIO; Vermont-NEA; VSEA; 350 VT; Migrant Justice; the Black Perspective; VT Workers' Center; Democratic Socialists of America; Planned Parenthood Vermont Action Fund; Community Voices for Immigrant Rights; United Academics UVM/AFT; AFSCME,,in solidarity with workers,1,rally,,,,,,,,,,,,https://vermontbiz.com/news/2021/april/27/worker-solidarity-rally-mayday-montpelier-and-barre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Beaumont,TX,Exxon Mobil's oil refinery,,count pic,4,4,United Steelworkers (USW) union,refinery workers,oppose changes to seniority rules; pay dispute; workers' rights; labor,0,strike; picket line,,,,,,,,,,multi-day strike,,https://www.reuters.com/business/energy/exxon-refinery-dispute-centers-seniority-pay-demand-vote-2021-05-04/?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Bellingham,WA,Whatcom County Courthouse,Black Lives Matter March,,,,Bellingham Occupied Protest,,Black Lives Matter,1,rally,,,,,,,,,,,,https://twitter.com/AidBop/status/1387813972598943746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Berkeley,CA,online,,almost 200,200,200,University Council-American Federation of Teachers,,for a fair contract for University of California lecturers,1,virtual rally,,,,,,,,,,Confirmed willingness to strike,,https://www.dailycal.org/2021/05/03/uc-aft-holds-virtual-may-day-rally-to-promote-strike-readiness-pledge/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Bogalusa,LA,,,,,,Communication Workers of America,Maximus Call Center employees,for $15 minimum wage,1,protest,,,,,,,,,,,,https://www.wibw.com/2021/04/30/maximus-employees-to-protest-in-lawrence-for-15-per-hour-minimum-wage/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Boston,MA,Copley Square,Solidarity with Palestinians of Jerusalem: No to Israeli Apartheid,,,,Boston University SJP; Wellesley College SJP; Umass Boston SJP; Northeastern University SJP; Jewish Voice for Peace Boston,,"in solidarity with Palestinians, against apartheid in Israel, against violence in Jerusalem",0,march,,,,,,,,,,,,https://www.instagram.com/p/COVx98XsvyA/,https://www.instagram.com/p/COI3vXdAL5n/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Boston,MA,Massachusetts State House,,count video,100,200,,,"against COVID-19 mask and vaccine mandates, for health freedom, against Governor Baker, for reopening businesses during pandemic",2,rally; march,,marched in street,,,,,,,,"Organized by Shiva Ayyadurai, who is planning run for U.S. Senate as Republican",,https://www.ntd.com/boston-rally-demands-lifting-all-mask-mandates_607218.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Boston,MA,Nubian Square,International Worker's Day May Day Solidarity March,,,,Boston May Day Coalition; New England Front Against Fascism,,"in solidarity with workers, against racism, against sexism, for LGBTQ+ rights, for native peoples' rights, against capitalism",1,march,,,,,,,,,,,,https://twitter.com/sleepisocialist/status/1388221482183102467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Boston,MA,"Parkman Bandstand, Boston Common",International Worker's Day,,,,Boston May Day Coalition,,"in solidarity with workers, in solidarity with Black Lives Matter, against police brutality, for immediate legal residency for all undocumented immigrants",1,rally,,,,,,,,,,,,https://www.instagram.com/p/COEQk-Gg7bl/,https://www.instagram.com/p/COOnC-wMl0a/,https://twitter.com/sleepisocialist/status/1388221482183102467,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Boston,MA,"William S. Keith House, Centre St, West Roxbury",,several dozen,36,36,,local residents,against proposed residential development in neighborhood,0,rally,,,,,,,,,,,,https://www.bostonherald.com/2021/05/01/west-roxbury-residents-protest-development-proposal-fearing-loss-of-business-district/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Boulder,CO,2503 Walnut St,Marcha Hacia la Reforma,,,,Boulder DSA,,"for the PRO Act, for collective bargaining rights",1,march,,,,,,,,,,,,https://pro-act.dsausa.org/event/marcha-hacia-la-reforma/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Bradenton,FL,downtown,,,,,,residents,"against water pollution, against state cleanup plan at Piney Point phosphate plant",0,protest,,,,,,,,,,,,https://www.mysuncoast.com/2021/05/01/manatee-county-residents-protest-downtown-bradenton-over-piney-point-decision/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Brainerd,MN,Brainerd City Hall,Brainerd May Day March & Rally,,,,Brainerd Lakes Area DSA; MN AFL-CIO,,"for the PRO Act, for collective bargaining rights",1,march; rally,,,,,,,,,,,,https://pro-act.dsausa.org/event/brainerd-may-day-march-rally/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Brookwood,AL,Warror Met Coal Inc.,,,,,United Mine Workers of America,,against unfair labor practices at Warrior Met Coal,0,strike; picket,,,,,,,,,,,,https://twitter.com/MineWorkers/status/1389653802714808320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Burlington,VT,CityPlace Burlington,,a small handful,5,5,Battery Park Movement,,for housing rights,1,occupation,,camped overnight on construction site,,,,,,,,,,https://www.wcax.com/2021/05/02/protesters-plan-to-camp-out-at-city-place-in-opposition-to-housing-costs/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Butte,MT,"Grave of Frank Little, 3910 Harrison Ave",,,,,Bozeman IWW; Missoula IWW; DSA; SRA,,for workers' rights,1,rally,,,,,,,,,,,,https://twitter.com/BozemanIww/status/1388632451610603521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Carlsbad,CA,Oceanside Pier,Mask-Free March for Mask-Choice,,,,Let Them Breathe,,against coronavirus mask mandates for schools and other youth activities,2,march,,,,,,,,,,,,https://www.instagram.com/p/COPcWASD4LS/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Chelsea,MA,,,count video,50,60,Greater Boston Labor Council; Teamsters,,"for the PRO Act, for collective bargaining rights, against wage theft",1,rally,,,,,,,,,,,,https://whdh.com/news/workers-rally-for-union-rights-in-chelsea-on-may-day/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Chester,VA,,,,,,Communication Workers of America,Maximus Call Center employees,for $15 minimum wage,1,protest,,,,,,,,,,,,https://www.wibw.com/2021/04/30/maximus-employees-to-protest-in-lawrence-for-15-per-hour-minimum-wage/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Chicago,IL,Harold Washington Park,,,,,,,"against racism, against police violence, for justice for Daunte Wright, Black Lives Matter",1,protest,,,,,,,,,,,,https://twitter.com/sleepisocialist/status/1388221306211127303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Chicago,IL,Portage Park,Justice for Anthony Alvarez!,about 100,100,100,People United Albany Park; Answer Coalition; Party for Socialism and Liberation,family,"against racism, against police violence, for justice for Anthony Alvarez, for resignation of Mayor Lightfoot",1,rally; march,,marched in street; occupied intersection,,,,,,,20210501-chicago-alvarez,,,https://www.facebook.com/events/868071207078247/,https://twitter.com/sleepisocialist/status/1388221306211127303,https://twitter.com/byaliceyin/status/1388538612598419460,https://www.chicagotribune.com/news/breaking/ct-anthony-alvarez-portage-park-protest-family-20210501-2u6u6tzd7ndytar7x6pez3u2tm-story.html,https://twitter.com/dudgedudy/status/1388643412807766017,https://wgntv.com/news/chicago-news/family-members-of-anthony-alvarez-ask-for-justice-in-protest-saturday/,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Chicago,IL,Portage Park,,,,,,Polish biker gang,against anti-racism protesters,2,counter-protest,,used motorcycles to try to drown out speeches at rally,,,,,,,20210501-chicago-alvarez,,,https://twitter.com/dudgedudy/status/1388550550426464258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Chicago,IL,"The Dill Pickle, 2746 N Milwaukee Ave",,count video,30,40,Greater Chicago IWW,,"against union busting, against layoffs of workers at the Dill Pickle",1,picket,,,,,,,,,,,,https://twitter.com/Chicago_IWW/status/1388576128596594689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Chicago,IL,Union Park,UChicago May Day March Against Cops and Bosses,,,,University of Chicago Labor Council; Care Not Cops,,"against police, for workers' rights",1,rally; march,,,,,,,,,,,,https://www.facebook.com/events/868071207078247/,https://twitter.com/sleepisocialist/status/1388221306211127303,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Chicago,IL,Union Park; Federal Plaza,"May Day March for PRO Act, Immigration Rights, and an End to Police Violence",,1500,1500,Illinois Coalition for Immigrant and Refugee Rights; Chicago Alliance Against Racist and Political Repression; Democratic Socialists of America; SEIU,elected officials,"for collective bargaining rights, for the PRO Act, for a path to citizenship for all immigrants, against mass criminalization and deportation of immigrants, against police violence, for police accountability, for community control of police, against racism",1,march,,,,,,,,,,,,https://www.facebook.com/events/868071207078247/,https://twitter.com/sleepisocialist/status/1388221306211127303,http://www.fightbacknews.org/2021/5/1/1500-rally-and-march-chicago-may-day,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Claremont,NH,,We Back the Blue Rally,,,,,,Back the Blue,2,rally,,,,,,,,,,,,https://twitter.com/IREHR/status/1384641274267897860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Columbus,OH,Columbus City Hall,,more than 100,100,100,,family,"against racism, against police violence, for police accountability, for justice for Ma'Khia Bryant and Casey Goodson, Black Lives Matter",1,rally,,,,,,,,,,,,https://www.dispatch.com/story/news/local/2021/05/01/mother-makhia-bryant-speaks-saturday-rally/4906701001/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Danville,IL,Vermilion County Jail,,count video,10,15,,families,for justice for inmates who died in Vermilion County Jail,,,,,,,,,,,,,,https://www.wcia.com/news/families-of-deceased-inmates-rally-at-vermilion-county-jail/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Denton,TX,Quakertown Park,International Worker's Day,,,,NTXRR; Denton Left; Cooperation Denton; Denton DSA; Elm Fork John Brown Gun Club,,in solidarity with workers,1,rally,,,,,,,,,,,,https://twitter.com/EFJBGC/status/1384150193067597826,https://twitter.com/EFJBGC/status/1388699143208677378,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Denver,CO,1961 Stout St,PRO Act Car Caravan and Socially Distanced Rally,count pic,50,60,Denver DSA; CWA; Teamsters; BCTGM; PSL; CIRC; Sanctuary For All,,"for the PRO Act, for collective bargaining rights",1,rally,,,,,,,,,,,,https://pro-act.dsausa.org/event/may-day-rally-for-the-pro-act-2/,https://twitter.com/TisTheSeizin/status/1388647252961419271,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Des Moines,IA,Iowa Statehouse,,count video,30,40,LULAC,,for path to citizenship for undocumented immigrant workers,1,rally; march,,,,,,,,,,,,https://www.kcci.com/article/we-are-one-immigration-rights-groups-march-in-des-moines-for-reform/36307891,https://www.kcrg.com/2021/05/02/immigration-rights-advocates-march-in-des-moines/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Detroit,MI,Detroit Service Learning Academy,Child Abuse Prevention and Mental Health Awareness Rally,,,,Motherhood Matters,,against child abuse,0,rally,,,,,,,,,,,,https://www.detroitnews.com/story/news/local/detroit-city/2021/05/01/detroit-rally-calls-community-take-stand-against-child-abuse/7400744002/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Detroit,MI,Hart Plaza,Justice for Ma'Khia Bryant,FB: 56,56,56,MFBW Detroit,,"for justice for Ma'Khia Bryant, against police violence, against racism, for police accountability",1,protest,,,,,,,,,,,,https://www.facebook.com/events/198707365397777/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Detroit,MI,,Detroit Worker May Day,,,,Detroit DSA; Detroit Action,,"in celebration of workers, against economic inequality",1,rally,,,,,,,,,,,,https://pro-act.dsausa.org/event/detroit-worker-may-day/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Durham,NC,211 W Parrish St,Solidarity 4 Elizabeth City,,,,Southerners on New Ground Durham; BYP100 Durham; DurhamBeyondPolicing; Southern Vision Alliance,,"for justice for Andrew Brown Jr., for police transparency and accountability, against militarized occupation of Elizabeth City, for resignation of Pasquotank County sheriff, against anti-protest state legislation, against racism",1,protest,,,,,,,,,,,,https://www.wral.com/weekend-marked-by-plans-to-remember-andrew-brown-jr-protest-his-death/19655361/,https://secure.everyaction.com/BYLjbpoE4EetXdgOtcF4Hg2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,El Paso,TX,Memorial Park; Armijo Park,Somos los 11 Milliones,,,,Border Network for Human Rights,,"for path to citizenship for undocumented immigrant workers, for workers' rights",1,caravan,,,,,,,,,,,,https://www.ktsm.com/local/el-paso-news/bnhr-holds-caravan-rally-in-support-of-workers-rights-immigration-reform/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Elizabeth City,NC,downtown,,,,,New Black Panther Party,,"for justice for Andrew Brown Jr., against racism, against police violence, for police transparency and accountability",1,march,large police force deployed in evening; curfew moved to midnight,marched in street; occupied downtown streets at night; dispersed before curfew,,,2,,,,,Arrests for impeding traffic,,https://twitter.com/FordFischer/status/1388530824438370304,https://twitter.com/PAWGsForBernie/status/1388621307600904192,https://www.wwaytv3.com/2021/05/01/no-end-in-sight-for-protesters-demands-for-release-of-pasquotank-deputies-bodycam-footage/,https://www.dailyadvance.com/news/local/police-second-protest-on-saturday-underway/article_72c62f8d-1fa1-5827-8af5-300a4b38ab43.html,https://twitter.com/FordFischer/status/1388891132646539264,https://www.dailyadvance.com/news/local/two-arrested-for-impeding-traffic-during-protest-viewing-for-brown-set-for-today-at-moa/article_72c62f8d-1fa1-5827-8af5-300a4b38ab43.html,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Elizabeth City,NC,,,,,,Suited Movement 757,,"for justice for Andrew Brown Jr., against racism, against police violence, for police transparency and accountability",1,march,,marched in street,,,,,,,,Morning march separate from afternoon/evening march,,https://twitter.com/FordFischer/status/1388530824438370304,https://www.wwaytv3.com/2021/05/01/no-end-in-sight-for-protesters-demands-for-release-of-pasquotank-deputies-bodycam-footage/,https://www.dailyadvance.com/news/local/police-second-protest-on-saturday-underway/article_72c62f8d-1fa1-5827-8af5-300a4b38ab43.html,https://twitter.com/FordFischer/status/1388891132646539264,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Eugene,OR,King Estate Winery,,nearly a dozen,12,12,,,against COVID vaccination requirement for employment at King Estate Winery,0,protest,,,,,,,,,,,,https://www.kezi.com/content/news/Protestors-rally-against-King-Estate-Winerys-employee-vaccine-mandate-574332371.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Fort Collins,CO,2001 South Shields St,,,,,DSAFC; Teamsters Local 455; Northern Colorado Central Labor Council,,"for collective bargaining rights, for the PRO Act",1,rally,,,,,,,,,,,,https://pro-act.dsausa.org/event/pass-the-pro-act-fort-collins/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Fort Wayne,IN,Allen County Courthouse,Rally to Restore Music,between 350 and 400,350,400,Fort Wayne Philharmonic Orchestra,,for fair contract for Fort Wayne Philharmonic Orchestra players,0,rally,,,,,,,,,,,,https://www.journalgazette.net/article/20210429/WEB/210429827,https://www.journalgazette.net/news/local/20210502/musicians-rally-for-new-contract,https://fortwaynesnbc.com/2021/05/01/fort-wayne-philharmonic-held-a-rally-in-support-of-its-musicians/,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Franklin,IN,Johnson County Courthouse,,more than 20,20,20,,family; friends,against plea deal in murder case,0,protest,,,,,,,,,,,,http://www.dailyjournal.net/2021/05/04/extremely_tragic_family_friends_of_teen_who_was_shot_killed_protest_plea_deal-3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Fresno,CA,Fresno City Hall,,around 200,200,200,May First Coalition; United Farmworkers Union; The Coalition for Humane Immigrant Rights LA; Centro Binacional,,"for immigration reform, for federal Farm Workforce Modernization Act, for path to citizenship for undocumented immigrant farm workers",1,rally; march,,,,,,,,,,,,https://www.indybay.org/newsitems/2021/05/01/18842057.php,https://kmph.com/news/local/farm-workers-gather-in-fresno-to-demand-senate-pass-immigration-reform-bill,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Gladeview,FL,NW 22nd Ave & NW 64th St,,count video,30,40,Community Youth Against Violence,pastor; youth activists,against drive-by shootings and gun violence,0,rally,,,,,,,,,,,,https://wsvn.com/news/local/miami-dade/activists-take-stand-against-gun-violence-at-nw-miami-dade-rally-food-distribution/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Grand Rapids,MI,Pearl St NW & Front Ave,,,,,International Alliance of Theatrical Stage Employees Local 26; Amalgamated Transit Union Local 836; Kent-Ionia Labor Council,,"for the PRO Act, for collective bargaining rights, for immigrants' rights, for criminal justice reform, against racism, for LGBTQ+ rights, for the Equality Act",1,rally,,,,,,,,,,,,https://www.mlive.com/news/grand-rapids/2021/05/grand-rapids-unions-rally-on-international-workers-day.html,http://www.fightbacknews.org/2021/5/3/west-michigan-labor-unions-rally-international-workers-day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Granville,OH,Ross' Granville Market,,count video,10,15,Mothers Against Dewine,,against coronavirus mask mandate in grocery store,2,direct action,,entered store without masks and refused to leave; verbally confronted employees and customers,,,,,,,,,,https://www.newarkadvocate.com/story/news/local/granville/2021/05/06/granville-law-director-says-action-taken-anti-mask-protesters/4969508001/,https://www.youtube.com/watch?v=GTGV101tzY4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Greenwich,NY,Mowry Park,,,,,,,"in remembrance of George Floyd, against police brutality, for racial justice, Black Lives Matter",1,vigil,,,,,,,,,,,,https://www.timesunion.com/news/article/How-one-woman-kept-George-Floyd-s-story-alive-in-16210166.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Hackensack,NJ,Bergen County Jail,,,,,thoughtstream,,"in solidarity with ICE detainees, for abolishing ICE",1,demonstration,,,,,,,,,,,,https://www.instagram.com/p/COTltwIj-lD/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Hammond,IN,"Evansville, IN; home of Mayor Thomas McDermott Jr.",,between 25 and 30; about 50; roughly 50,25,50,Young Conservatives of Southern Indiana,Trump supporters,"against mayor's condemnation of anti-Biden flag, against President Biden, for Donald Trump",2,caravan,facilitated caravan for safety,,,,,,,,20210501-hammond-trump,,,https://www.nwitimes.com/news/local/watch-now-trump-supporters-caravan-outside-hammond-mayors-house-in-protest-over-flag-dispute/article_06a789fb-3541-5d47-84a6-0918a631c8ab.html,https://www.chicagotribune.com/suburbs/post-tribune/ct-ptb-trump-backers-mcdermott-st-0502-20210501-h5y2ygl3bzel7cdgldnr3jxssq-story.html,https://www.washingtonexaminer.com/news/trump-supporters-gather-outside-indiana-mayor-home,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Hammond,IN,home of Mayor Thomas McDermott Jr.,,,,,,,in support of mayor,0,counter-protest,,,,,,,,,20210501-hammond-trump,,,https://www.nwitimes.com/news/local/watch-now-trump-supporters-caravan-outside-hammond-mayors-house-in-protest-over-flag-dispute/article_06a789fb-3541-5d47-84a6-0918a631c8ab.html,https://www.chicagotribune.com/suburbs/post-tribune/ct-ptb-trump-backers-mcdermott-st-0502-20210501-h5y2ygl3bzel7cdgldnr3jxssq-story.html,https://www.washingtonexaminer.com/news/trump-supporters-gather-outside-indiana-mayor-home,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Hartford,CT,Abraham A. Ribicoff U.S. Court House,,count video,50,60,Make the Road CT; CT Students for a Dream; 32BJ SEIU; CT Working Families Party; FIRM Action,,"for immigrants' rights, against deportations, for COVID relief funds for undocumented immigrant workers",1,rally,,,,,,,,,,,,https://twitter.com/MaketheRoadCT/status/1388556200757895172,https://twitter.com/MaketheRoadCT/status/1388554647959490568,https://twitter.com/MaketheRoadCT/status/1388510450111979523,https://www.courant.com/news/connecticut/hc-news-hartford-immigration-protest-20210501-7nyqpfrcyzdyvc3t7r6xlrc36a-story.html,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Hartford,CT,Elizabeth Park; Governor's Residence,,hundreds,200,200,Recovery for All Coalition; SEIU District 1199 New England; Connecticut Education Association,workers,"for raising state taxes on wealthy people to fund community investment and COVID relief, against racial and economic inequities, for higher wages for nursing home workers",1,demonstration,,some occupied street in front of mansion,,,,,,,,,,https://whdh.com/news/hundreds-stage-die-in-to-protest-conn-governors-tax-stance/,https://twitter.com/MaketheRoadCT/status/1388625000505225222,https://apnews.com/article/business-health-coronavirus-government-and-politics-c646a791cbac5ce145dd104e1b20a2c9,https://www.ctpost.com/news/article/CT-nursing-home-workers-protest-ahead-of-planned-16144300.php,https://www.nbcconnecticut.com/top-video-ott/hundreds-rally-outside-governors-mansion-for-change/2478941/,https://apnews.com/article/business-health-coronavirus-government-and-politics-c646a791cbac5ce145dd104e1b20a2c9,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Hattiesburg,MS,,,,,,Communication Workers of America,Maximus Call Center employees,for $15 minimum wage,1,protest,,,,,,,,,,,,https://www.wibw.com/2021/04/30/maximus-employees-to-protest-in-lawrence-for-15-per-hour-minimum-wage/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Honolulu,HI,Kalihi District Park; Kuhio Park Resource Center,,hundreds; about 300,200,300,UNITE HERE Local 5; Hawaii Teamsters Local 996; Masons Union of Hawaii Local 1; International Brotherhood of Electrical Workers Local 1260; Hawaii Workers Center,,"for workers' rights, for collective bargaining rights, for improvements to state unemployment insurance system during coronavirus pandemic",1,march,,,,,,,,,,,,https://www.khon2.com/local-news/unions-held-march-for-international-workers-day/,https://www.kitv.com/story/43799431/hawaii-workers-center-may-day-march-and-rally-call-for-workers-rights,https://www.hawaiinewsnow.com/2021/05/01/hundreds-gather-workers-day-rally-calling-state-support-workers-hit-hard-by-pandemic/,https://www.staradvertiser.com/2021/05/01/photo-gallery/hawaii-labor-union-members-and-supporters-rally-in-kalihi-valley-for-international-workers-day/,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Houston,TX,2311 Runnels St,May Day,,,,SEIU Texas; Workers Defense Project; Mi Familia Vota Education Fund; United We Stand Texas,,for path to citizenship for undocumented immigrant workers,1,rally,,,,,,,,,,,,https://www.facebook.com/events/366587328003109/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Houston,TX,Westheimer Rd & Post Oak Blvd,"Close the Border, Save America Rally",FB: 50,50,50,,,against immigration,2,rally,,,,,,,,,,,,https://www.facebook.com/events/366587328003109/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Kailua-Kona,HI,Queen Ka'ahumanu Highway,,,,,,,"against state coronavirus mandates, against vaccinations",0,demonstration,,,,,,,,,,,,https://bigislandnow.com/2021/05/16/dozens-gather-to-protest-state-covid-mandates-restrictions/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Kamas,UT,Summit County Health Department,,five or six,5,6,,,against COVID-19 vaccinations,0,protest,,stood outside vaccination clinic and tried to dissuade people from getting vaccinated,,,,,,,,,,https://www.parkrecord.com/news/summit-county/sheriffs-report-anti-vaccine-protesters-disrupt-kamas-clinic/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Lansing,MI,Michigan State Capitol,,,,,,workers; tenants; unions,"for the PRO Act, for collective bargaining rights",1,rally,,,,,,,,,,,,https://www.wlns.com/news/rally-for-international-workers-day/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,Lawrence,KS,,,,,,Communication Workers of America,Maximus Call Center employees,for $15 minimum wage,1,protest,,,,,,,,,,,,https://www.wibw.com/2021/04/30/maximus-employees-to-protest-in-lawrence-for-15-per-hour-minimum-wage/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
